expectedData,actualData
0.29972526292502877,0.325
0.3333598824739456,0.343
0.34993107898533343,0.345
0.34184401290118693,0.349
0.35453585934638976,0.344
0.34221192677319046,0.361
0.3568855216503143,0.394
0.39106892232596874,0.387
0.3884201788753271,0.389
0.3642866784930229,0.409
0.40084983228147025,0.437
0.430175448000431,0.46
0.45171012343466277,0.406
0.38947988581657406,0.402
0.38438467900455,0.405
0.3987758501470089,0.375
0.36264431139826775,0.369
0.3495332892388105,0.349
0.34258588567376136,0.336
0.32661422166228293,0.319
0.3256743943542242,0.301
0.3006618662178516,0.274
0.28090684719383713,0.291
0.2841089525595307,0.298
0.2932243989035487,0.34
0.3347031684219837,0.423
0.4436496286094188,0.44
0.4526374576836824,0.46
0.44596159680187697,0.445
0.4522035589665174,0.457
0.4389193803220987,0.488
0.4918531431406736,0.46
0.45587971547245976,0.447
0.4262192051708698,0.441
0.43830055746436114,0.425
0.4098770749419927,0.421
0.4085646589398384,0.414
0.4028520263433456,0.422
0.4163452823758125,0.421
0.41782177388668057,0.393
0.3859573536366224,0.422
0.4094878557026386,0.42
0.43116393107175827,0.412
0.3998691405802965,0.433
0.4327125599235296,0.415
0.4172813751995563,0.405
0.398536923751235,0.38
0.38174214178323745,0.378
0.3597660449296236,0.346
0.3453120054900646,0.333
0.3176313360780477,0.345
0.333431133210659,0.345
0.3327867331653833,0.358
0.346199657484889,0.416
0.4118606771826744,0.397
0.3860951265543699,0.399
0.38312387411296367,0.463
0.46896199016273016,0.446
0.43155006062984463,0.444
0.41398264341056346,0.441
0.41998269696533674,0.424
0.405615276068449,0.417
0.38349702700972554,0.41
0.37277432847023007,0.404
0.3909241371750831,0.387
0.3678856198340654,0.371
0.35855967216193674,0.351
0.3388225195556879,0.327
0.3297851749807596,0.307
0.3075896167233586,0.298
0.29050523758679625,0.28
0.2843564897626638,0.274
0.27211362773925063,0.278
0.2733903780728578,0.25
0.25664449366927145,0.263
0.251233266197145,0.259
0.25976249253749845,0.25
0.23697496478259564,0.26
0.2535844196081161,0.27
0.27020814070105553,0.258
0.254054588496685,0.254
0.24353035496175288,0.288
0.28588272514194246,0.303
0.3070454163849354,0.33
0.3235613210350275,0.33
0.3274028157889843,0.31
0.2936523466259241,0.284
0.27871650497615336,0.277
0.2716202593743801,0.287
0.3011096416339278,0.323
0.3354693825095892,0.401
0.3922663484513759,0.426
0.4387476477771997,0.459
0.4990946574956178,0.467
0.4927399622648954,0.51
0.4973210998475551,0.538
0.5286046600192785,0.57
0.5491618677675724,0.59
0.5960658623576164,0.579
0.5648542245924473,0.568
0.5564434673786163,0.579
0.5645235480964184,0.588
0.5885167769491672,0.589
0.5711007003784179,0.533
0.5270617806613445,0.544
0.5134734161794186,0.513
0.5308144269287586,0.489
0.4580756459832191,0.442
0.4260531683862209,0.412
0.3688525288701057,0.375
0.34526907235383986,0.355
0.3141304182335734,0.363
0.3447570450007915,0.337
0.3199575436711311,0.364
0.3505364684462547,0.369
0.3587071977257728,0.358
0.3091565687283873,0.412
0.45078630873560904,0.464
0.48620856413245195,0.492
0.4750803113430738,0.495
0.4973044693022966,0.542
0.5450946113467217,0.496
0.5168987980335951,0.524
0.4879145249277353,0.52
0.5298150628060102,0.47800000000000004
0.4579061702489853,0.457
0.45249213519692416,0.458
0.4462933211028576,0.408
0.4036393577307462,0.449
0.4061318170428276,0.37
0.36442450514435765,0.351
0.3077463978976011,0.327
0.3239911897331476,0.306
0.2922695933580398,0.288
0.28073168913275004,0.246
0.2515123047158122,0.232
0.21960371545702217,0.251
0.23737385606765746,0.22700000000000004
0.22641970010101795,0.211
0.21651736567169427,0.22700000000000004
0.2385912039205432,0.262
0.28626775316148995,0.317
0.31590960447490213,0.336
0.3188305354118347,0.308
0.3253468881398439,0.269
0.2695913194194436,0.252
0.25363744122534987,0.22500000000000003
0.23903854946792125,0.22500000000000003
0.22164449023455382,0.212
0.2446333980411291,0.197
0.1719151769094169,0.182
0.2015312495343387,0.181
0.1756780527085066,0.179
0.17393578815832733,0.179
0.16922745645791293,0.177
0.16852370766550304,0.173
0.19687993588671088,0.156
0.16464067684859038,0.171
0.15517500841617585,0.23900000000000002
0.215818251401186,0.207
0.21527086734771728,0.196
0.18201861600577832,0.163
0.18855865181237458,0.145
0.13760247978940607,0.125
0.13999107207730413,0.116
0.1120415869615972,0.11
0.13133068205043674,0.11300000000000002
0.12293678374961019,0.117
0.125450118560344,0.109
0.10706639747507869,0.104
0.10896519468165933,0.099
0.1111571656987071,0.097
0.11846568919532001,0.092
0.10110664914827794,0.092
0.09927470072219148,0.093
0.12438129705935717,0.115
0.1346373395435512,0.136
0.17494108312577009,0.157
0.1667432855516672,0.173
0.1770795455649495,0.201
0.21108475223183631,0.211
0.22193337543308733,0.22300000000000003
0.22916103995591403,0.2
0.20443789405375717,0.193
0.20091913665831088,0.188
0.19363762436434626,0.179
0.18650774825364352,0.188
0.19491518741846084,0.186
0.2119304651618004,0.21900000000000003
0.2434119395688176,0.214
0.2421872570812702,0.247
0.25094106294959784,0.255
0.26879925947636363,0.267
0.2592684659361839,0.267
0.25986817307025195,0.258
0.2408299063667655,0.245
0.2271101229637861,0.23
0.21399383491277693,0.24100000000000002
0.22192172867804766,0.231
0.2259952719286084,0.24100000000000002
0.23683496192097664,0.23499999999999996
0.2456775625422597,0.22400000000000003
0.21132956245541573,0.215
0.21386777591705322,0.2
0.20372349929437042,0.192
0.1893453182466328,0.204
0.20205274071544407,0.22400000000000003
0.2240328407213092,0.21600000000000003
0.23711050775647163,0.179
0.19225018955767154,0.168
0.1869782596938312,0.204
0.24211474360525606,0.23599999999999996
0.2730168893411755,0.344
0.39073727862536906,0.362
0.41584069712460037,0.365
0.3628325670212507,0.373
0.3772347804158926,0.371
0.358804348051548,0.359
0.35072660474479195,0.389
0.3481211436986923,0.363
0.34047291982173916,0.401
0.34915594512224196,0.381
0.36324889485538003,0.397
0.35618212212622163,0.375
0.36395551839470863,0.343
0.3165439160391688,0.323
0.30652280351519584,0.287
0.2738301068842411,0.259
