city,Year,Month,Hs,Hmax,SST
Mackay,2021,3,1.35,2.12,28.39
Mackay,2021,4,1.01,1.68,26.92
Mackay,2021,5,1.19,2.1,24.84
Mackay,2021,6,0.88,1.57,22.55
Mackay,2021,7,0.69,1.22,21.79
Mackay,2021,8,0.88,1.56,22.51
Mackay,2021,9,0.92,1.62,22.78
Mackay,2021,10,0.74,1.25,24.95
Mackay,2021,11,0.78,1.44,26.98
Mackay,2021,12,0.87,1.55,28.44
Mackay,2022,1,1.01,1.79,28.87
Mackay,2022,2,1.21,2.14,28.4
Mackay,2022,3,0.97,1.71,28.68
Mackay,2022,4,1.45,2.51,27.18
Mackay,2022,5,1.16,2.02,25.4
Mackay,2022,6,1.01,1.79,23.2
Mackay,2022,7,1.07,1.88,20.57
Mackay,2022,8,0.82,1.44,20.65
Mackay,2022,9,0.56,0.97,22.22
Mackay,2022,10,0.81,1.41,24.95
Mackay,2022,11,0.85,1.5,26.9
Mackay,2022,12,1.1,1.93,27.68
Townsville,2019,1,0.9,1.57,28.09
Townsville,2019,2,0.77,1.34,28.42
Townsville,2019,3,0.57,1.01,28.73
Townsville,2019,4,0.89,1.56,27.03
Townsville,2019,5,0.82,1.42,24.88
Townsville,2019,6,0.69,1.22,22.61
Townsville,2019,7,0.62,1.09,21.8
Townsville,2019,8,0.63,1.11,22.09
Townsville,2019,9,0.53,0.94,23.45
Townsville,2019,10,0.66,1.16,25.69
Townsville,2019,11,0.46,0.81,27.63
Townsville,2019,12,0.61,1.08,28.28
Townsville,2020,1,0.57,1.01,29.45
Townsville,2020,2,0.44,0.77,30.65
Townsville,2020,3,0.71,1.25,29.03
Townsville,2020,4,0.59,1.04,27.85
Townsville,2020,5,0.72,1.25,24.8
Townsville,2020,6,0.73,1.27,23.21
Townsville,2020,7,0.62,1.07,22.04
Townsville,2020,8,0.58,1.02,22.7
Townsville,2020,9,0.8,1.39,23.65
Townsville,2020,10,0.61,1.08,25.66
Townsville,2020,11,0.67,1.18,27.74
Townsville,2020,12,0.56,0.99,29.17
Townsville,2021,1,0.66,1.16,28.27
Townsville,2021,2,0.53,0.93,29.02
Townsville,2021,3,0.61,1.08,28.63
Townsville,2021,4,0.78,1.38,27.13
